report_date,professional_id,report_problem_id,problem_name
2025-01-08 12:04:00,8563,32347,คืนงาน (กะทันหัน)
2025-01-08 12:50:00,9791,32349,คืนงาน (กะทันหัน)
2025-01-08 14:56:00,2205,32355,คืนงาน (กะทันหัน)
2025-01-08 15:32:00,9740,32357,คืนงาน (ล่วงหน้า)
2025-01-08 16:17:00,11671,32361,คืนงาน (กะทันหัน)
2025-01-08 16:22:00,8389,32362,คืนงาน (กะทันหัน)
2025-01-08 17:23:00,11098,32365,คืนงาน (ล่วงหน้า)
2025-01-09 06:27:00,10955,32367,คืนงาน (กะทันหัน)
2025-01-09 08:15:00,11379,32370,คืนงาน (ล่วงหน้า)
2025-01-09 08:32:00,9184,32374,คืนงาน (กะทันหัน)
2025-01-09 08:59:00,11510,32375,คืนงาน (ล่วงหน้า)
2025-01-09 10:33:00,11279,32378,คืนงาน (ล่วงหน้า)
2025-01-09 10:04:00,737,32381,คืนงาน (กะทันหัน)
2025-01-09 10:30:00,11994,32382,คืนงาน (ล่วงหน้า)
2025-01-09 11:40:00,4713,32384,คืนงาน (กะทันหัน)
2025-01-09 12:29:00,8285,32386,คืนงาน (ล่วงหน้า)
2025-01-09 12:44:00,9670,32387,คืนงาน (ล่วงหน้า)
2025-01-09 12:55:00,737,32388,คืนงาน (กะทันหัน)
2025-01-09 15:07:00,11959,32392,คืนงาน (ล่วงหน้า)
2025-01-09 15:31:00,10437,32394,คืนงาน (กะทันหัน)
2025-01-10 00:11:00,11001,32398,คืนงาน (กะทันหัน)
2025-01-10 09:23:00,342,32404,คืนงาน (ล่วงหน้า)
2025-01-10 09:57:00,10916,32405,คืนงาน (กะทันหัน)
2025-01-10 10:42:00,10585,32407,คืนงาน (กะทันหัน)
2025-01-10 11:29:00,10955,32410,คืนงาน (กะทันหัน)
2025-01-10 14:00:00,10044,32413,คืนงาน (ล่วงหน้า)
2025-01-10 15:50:00,11696,32416,คืนงาน (ล่วงหน้า)
2025-01-10 17:10:00,3546,32417,คืนงาน (กะทันหัน)
2025-01-10 18:29:00,11341,32420,คืนงาน (ล่วงหน้า)
2025-01-10 20:13:00,10388,32421,คืนงาน (ล่วงหน้า)
2025-01-11 20:28:00,7632,32422,คืนงาน (กะทันหัน)
2025-01-10 19:47:00,11844,32423,คืนงาน (ล่วงหน้า)
2025-01-11 07:38:00,1360,32426,คืนงาน (ล่วงหน้า)
2025-01-11 08:21:00,11891,32429,คืนงาน (กะทันหัน)
2025-01-11 10:24:00,9771,32433,คืนงาน (กะทันหัน)
2025-01-11 07:23:00,5381,32435,คืนงาน (กะทันหัน)
2025-01-11 12:25:00,11755,32436,คืนงาน (ล่วงหน้า)
2025-01-11 13:02:00,9337,32438,คืนงาน (กะทันหัน)
2025-01-11 13:40:00,2173,32442,คืนงาน (กะทันหัน)
2025-01-11 14:10:00,11051,32443,คืนงาน (กะทันหัน)
2025-01-11 15:31:00,11959,32446,คืนงาน (กะทันหัน)
2025-01-11 17:27:00,7134,32448,คืนงาน (ล่วงหน้า)
2025-01-11 18:00:00,9740,32449,คืนงาน (กะทันหัน)
2025-01-11 20:00:00,5340,32450,คืนงาน (กะทันหัน)
2025-01-12 07:40:00,10279,32451,คืนงาน (ล่วงหน้า)
2025-01-12 07:39:00,5604,32452,คืนงาน (กะทันหัน)
2025-01-12 08:19:00,11218,32453,คืนงาน (กะทันหัน)
2025-01-12 06:04:00,11345,32455,คืนงาน (กะทันหัน)
2025-01-12 09:14:00,6670,32456,คืนงาน (กะทันหัน)
2025-01-12 21:49:00,8003,32457,คืนงาน (กะทันหัน)
2025-01-12 10:19:00,5124,32458,คืนงาน (ล่วงหน้า)
2025-01-10 20:18:00,3546,32459,คืนงาน (ล่วงหน้า)
2025-01-12 11:34:00,11766,32463,คืนงาน (กะทันหัน)
2025-01-12 17:56:00,11814,32471,คืนงาน (กะทันหัน)
2025-01-12 18:00:00,11411,32474,คืนงาน (กะทันหัน)
2025-01-12 19:36:00,11055,32475,คืนงาน (กะทันหัน)
2025-01-12 19:51:00,9078,32476,คืนงาน (ล่วงหน้า)
2025-01-13 07:54:00,3448,32477,คืนงาน (กะทันหัน)
2025-01-13 00:49:00,10132,32482,คืนงาน (กะทันหัน)
2025-01-13 09:43:00,11712,32485,คืนงาน (กะทันหัน)
2025-01-13 10:16:00,11001,32486,คืนงาน (ล่วงหน้า)
2025-01-13 10:27:00,10656,32487,คืนงาน (ล่วงหน้า)
2025-01-13 10:26:00,10959,32488,คืนงาน (ล่วงหน้า)
2025-01-13 10:14:00,11001,32490,คืนงาน (ล่วงหน้า)
2025-01-13 12:00:00,9905,32491,คืนงาน (กะทันหัน)
2025-01-13 12:53:00,11621,32492,คืนงาน (ล่วงหน้า)
2025-01-13 13:07:00,9040,32493,คืนงาน (ล่วงหน้า)
2025-01-13 14:14:00,6651,32495,คืนงาน (ล่วงหน้า)
2025-01-13 14:22:00,12080,32496,คืนงาน (กะทันหัน)
2025-01-13 15:40:00,11639,32498,คืนงาน (ล่วงหน้า)
2025-01-13 16:46:00,8901,32500,คืนงาน (กะทันหัน)
2025-01-13 16:12:00,10693,32505,คืนงาน (กะทันหัน)
2025-01-13 18:21:00,4827,32506,คืนงาน (ล่วงหน้า)
2025-01-13 19:42:00,2916,32507,คืนงาน (กะทันหัน)
2025-01-14 07:34:00,5604,32508,คืนงาน (ล่วงหน้า)
2025-01-14 05:51:00,12049,32509,คืนงาน (กะทันหัน)
2025-01-14 09:08:00,11194,32511,คืนงาน (กะทันหัน)
2025-01-10 09:23:00,342,32512,คืนงาน (ล่วงหน้า)
2025-01-14 09:45:00,11871,32513,คืนงาน (ล่วงหน้า)
2025-01-14 13:20:00,12079,32515,คืนงาน (ล่วงหน้า)
